timestamp,packets_per_sec,syn_ratio,avg_size,unique_ips,unique_port
1772466417.3826656,243.9,0.0,549.430094300943,26,30
1772466418.4360988,227.1,0.0,491.0330250990753,26,29
1772466419.504972,229.9,0.0,483.083079599826,22,24
1772466420.559579,233.1,0.000429000429000429,476.9141999141999,23,27
1772466421.6214752,224.5,0.00044543429844097997,418.89755011135856,22,26
1772466422.6844003,211.7,0.0004723665564478035,371.16438356164383,21,25
1772466423.7345326,206.8,0.00048355899419729207,341.9487427466151,21,25
1772466424.7751873,205.5,0.00048661800486618007,318.7683698296837,20,25
1772466425.8089664,203.5,0.0004914004914004914,309.2835380835381,19,24
1772466426.857267,196.0,0.0005102040816326531,288.7336734693878,17,22
1772466427.8934326,196.0,0.0005102040816326531,273.259693877551,18,23
1772466428.9340377,193.1,0.0005178663904712584,270.0844122216468,19,24
1772466429.9911714,193.6,0.0005165289256198347,282.5361570247934,18,22
1772466431.0378594,188.5,0.0,287.19045092838195,19,23
1772466432.069971,171.0,0.0,281.01637426900584,18,21
1772466433.1263783,168.5,0.0,293.19881305637983,18,21
1772466434.1614094,165.1,0.0,301.2810417928528,19,23
1772466435.19646,155.9,0.0,298.6093649775497,17,20
1772466436.2523596,165.9,0.0,290.26100060277275,19,22
1772466437.3042426,165.8,0.0,287.57237635705667,24,31
1772466438.3375642,153.5,0.0,294.4540716612378,24,31
1772466439.395553,144.3,0.0,283.1760221760222,26,35
1772466440.4207296,143.1,0.0,270.3501048218029,28,38
1772466441.453719,139.4,0.0,268.6571018651363,25,35
1772466442.4946933,148.8,0.0,266.3541666666667,27,37
1772466443.5402174,149.6,0.0,250.95120320855614,27,38
1772466444.5888543,153.8,0.0,258.17490247074124,31,44
1772466445.6213968,147.0,0.0,274.59455782312926,34,48
1772466446.685178,148.9,0.0,289.4701141705843,31,42
1772466447.7124567,161.2,0.0,281.3244416873449,31,42
1772466448.760159,164.1,0.0,282.8184034125533,31,39
1772466449.7986383,166.0,0.0,273.394578313253,31,39
1772466450.8411334,169.3,0.0,278.81098641464854,31,41
1772466451.9126775,178.8,0.0005592841163310962,277.13031319910516,35,45
1772466452.9423509,186.5,0.0010723860589812334,290.86005361930296,34,44
1772466453.992405,192.0,0.0010416666666666667,292.1078125,33,41
1772466455.0441375,191.9,0.0010422094841063053,297.5424700364773,30,38
1772466456.0804024,210.1,0.0014278914802475012,429.9690623512613,28,35
1772466457.1515555,227.6,0.0013181019332161687,539.7754833040422,30,37
1772466458.2433488,243.7,0.0012310217480508822,597.8026261797291,29,36
1772466459.2603989,283.5,0.0010582010582010583,717.0275132275133,29,36
1772466460.3336759,315.0,0.0009523809523809524,787.8514285714285,28,36
1772466461.4056396,326.0,0.0009202453987730061,806.1843558282209,25,33
1772466462.425953,317.2,0.0015762925598991173,828.0069356872635,23,32
1772466463.4838753,344.9,0.005218904030153668,829.7944331690345,25,42
1772466464.5548935,435.7,0.004360798714711958,994.5019508836356,24,40
1772466465.6028476,504.2,0.003768345894486315,1167.444069813566,24,41
1772466466.618846,503.0,0.0035785288270377734,1199.9017892644135,24,41
1772466467.644806,499.1,0.0036064916850330597,1231.9901823281907,22,39
1772466468.6513925,470.7,0.0038240917782026767,1222.1863182494158,23,40
1772466469.6567366,461.2,0.0039028620988725065,1221.187337380746,23,41
1772466470.6626675,439.4,0.004096495220755576,1223.9403732362312,22,41
1772466471.6686914,433.3,0.004154165705054235,1220.9413801061621,21,40
1772466472.6766644,426.5,0.002813599062133646,1221.6818288393904,17,36
1772466473.6821709,401.4,0.0004982561036372695,1225.6163428001994,16,27
1772466474.6887028,283.7,0.00035248501938667606,1041.2044413112442,16,28
1772466475.6930249,234.0,0.00042735042735042735,737.0200854700855,17,26
1772466476.697466,216.6,0.0004616805170821791,605.1675900277008,18,27
1772466477.70214,193.8,0.0005159958720330237,431.8663570691434,19,28
1772466478.7063947,195.9,0.0005104645227156713,421.28790199081163,18,27
1772466479.7111468,192.3,0.0005200208008320333,388.81539261570464,19,27
1772466480.7162533,192.2,0.001040582726326743,334.0879292403746,18,26
1772466481.7199569,213.3,0.001875293014533521,404.2090951711205,21,28
1772466482.7263687,257.8,0.0015515903801396431,494.5643910007758,22,29
1772466483.7321198,251.9,0.0015879317189360857,505.2000793965859,25,34
1772466484.7395382,250.3,0.0015980823012385138,514.7059528565721,25,32
1772466485.7452853,247.8,0.0016142050040355124,519.6545601291364,27,33
1772466486.750525,249.1,0.0016057808109193096,519.3946206342835,27,34
1772466487.7564418,248.0,0.0016129032258064516,519.320564516129,28,35
1772466488.7607894,238.9,0.0016743407283382169,512.2293846797824,31,39
1772466489.7640991,234.0,0.0017094017094017094,500.52777777777777,32,42
1772466490.768484,228.6,0.0013123359580052493,486.40288713910763,32,42
1772466491.7724879,202.4,0.0004940711462450593,410.6610671936759,32,41
1772466492.7776287,153.9,0.0,277.99285250162444,31,40
1772466493.7825673,158.2,0.0006321112515802782,270.7484197218711,29,35
1772466494.7867234,165.6,0.0018115942028985507,257.44444444444446,31,40
1772466495.7921278,166.6,0.001800720288115246,253.11524609843937,31,41
1772466496.8075686,177.3,0.001692047377326565,251.54314720812184,36,46
1772466497.8534422,178.3,0.0016825574873808188,251.01906898485697,33,43
1772466498.9131548,183.0,0.001639344262295082,244.56284153005464,29,38
1772466499.9212933,189.3,0.001584786053882726,241.94241944004227,27,39
1772466500.9793596,192.8,0.0015560165975103733,240.88641078838174,27,38
1772466502.0286632,192.3,0.0015600624024961,244.41029641185648,26,36
1772466503.0360048,199.1,0.0015067805123053742,238.70768458061275,26,37
1772466504.07279,194.8,0.001026694045174538,239.37422997946612,27,39
1772466505.1155176,185.9,0.0,238.0796126949973,21,29
1772466506.1482549,186.9,0.0,238.8143392188336,23,34
1772466507.2202728,184.9,0.0,238.21849648458627,20,31
1772466508.2275486,187.4,0.0,240.82177161152615,21,32
1772466509.2628732,183.7,0.0,240.5225911812738,22,31
1772466510.311488,183.0,0.0,242.3065573770492,22,30
1772466511.3482683,183.3,0.0,239.94980905619204,23,34
1772466512.3856406,180.5,0.0,241.46426592797783,23,34
1772466513.4320564,177.4,0.0,243.71871476888387,23,32
1772466514.472697,181.8,0.0,245.2123212321232,24,32
1772466515.5208986,183.2,0.0,246.69978165938863,22,30
1772466516.5677872,176.3,0.0,247.1355643788996,19,25
1772466517.583349,175.7,0.0005691519635742744,247.402390438247,19,24
1772466518.6188014,197.5,0.0010126582278481013,329.4126582278481,19,24
1772466519.6548433,195.4,0.0010235414534288639,328.7763561924258,18,23
